workload,format,vccint,trial,eoc,ret,golden_ret,class,xor,bits_diff,se_a,se_b,mac_acc,rs1,rs2,op,fmt_hw,inflight,rd,id
bitnet_tinyllm,mxfp8_e5m2,0.78,0,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.78,1,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.78,2,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.77,0,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.77,1,0,0,0,crash,-1,-1,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.77,2,1,0,0,normal,0,0,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.76,0,0,0,0,crash,-1,-1,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.76,1,0,0,0,crash,-1,-1,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.76,2,0,0,0,crash,-1,-1,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.75,0,0,0,0,crash,-1,-1,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.75,1,0,0,0,crash,-1,-1,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.75,2,0,0,0,crash,-1,-1,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.74,0,0,0,0,crash,-1,-1,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.74,1,0,0,0,crash,-1,-1,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.74,2,0,0,0,crash,-1,-1,127,127,0,3170893823,8355584,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.73,0,0,0,0,crash,-1,-1,127,127,0,3170893823,8355712,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.73,1,0,0,0,crash,-1,-1,127,127,0,3170893823,8355712,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.73,2,0,0,0,crash,-1,-1,127,127,0,3170893823,8355712,4,4,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.72,0,0,0,0,crash,-1,-1,127,255,0,4294952191,0,4,0,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.72,1,0,0,0,crash,-1,-1,127,255,0,4294967234,0,4,0,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.72,2,0,0,0,crash,-1,-1,127,255,0,4294967234,0,4,0,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.71,0,0,0,0,crash,-1,-1,111,233,0,3170893823,8355075,4,0,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.71,1,0,0,0,crash,-1,-1,127,235,0,3170893823,8355075,4,0,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.71,2,0,0,0,crash,-1,-1,127,233,0,3170893823,8355075,4,0,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.7,0,0,0,0,crash,-1,-1,128,128,0,3166551229,2621480,0,0,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.7,1,0,0,0,crash,-1,-1,128,128,0,3166551229,2621445,0,0,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.7,2,0,0,0,crash,-1,-1,128,128,0,3166551229,2621484,0,0,0,0,4
bitnet_tinyllm,mxfp8_e5m2,0.69,0,0,96,0,crash,-1,-1,192,0,192,1010580732,232,0,0,0,0,0
bitnet_tinyllm,mxfp8_e5m2,0.69,1,0,96,0,crash,-1,-1,192,0,192,1010580732,232,0,0,0,0,0
