format,vccint,trial,eoc,ret,golden_ret,class,xor,bits_diff,se_a,se_b,mac_acc,rs1,rs2,op,fmt_hw,inflight,rd,id
mxfp8_e4m3,0.69,2,0,96,14,crash,-1,-1,226,32,131778,1044266750,842150642,0,4,0,0,1
mxfp8_e4m3,0.68,0,1,126,14,fault,112,3,253,0,253,253,253,0,0,0,0,0
mxfp8_e4m3,0.68,1,1,127,14,fault,113,4,255,0,253,255,255,0,0,0,0,0
mxfp8_e4m3,0.68,2,1,126,14,fault,112,3,253,0,255,255,255,0,0,0,0,0
mxfp8_e4m3,0.67,0,1,127,14,fault,113,4,255,0,255,255,255,0,0,0,0,0
mxfp8_e4m3,0.67,1,1,127,14,fault,113,4,255,0,255,255,255,0,0,0,0,0
mxfp8_e4m3,0.67,2,1,127,14,fault,113,4,255,0,255,255,255,0,0,0,0,0
mxfp8_e4m3,0.66,0,1,2175,14,fault,2161,5,255,0,1128481791,4351,255,0,0,0,0,0
mxfp8_e4m3,0.66,1,1,2175,14,fault,2161,5,255,0,1128481791,4351,255,0,0,0,0,0
mxfp8_e4m3,0.66,2,1,2175,14,fault,2161,5,255,0,1128481791,4351,255,0,0,0,0,1
mxfp8_e4m3,0.65,0,1,3839,14,fault,3825,8,255,160,1246382847,2897001727,2694881535,0,4,0,0,5
mxfp8_e4m3,0.65,1,1,3839,14,fault,3825,8,255,160,1246382847,2896477439,2694881535,0,4,0,0,5
mxfp8_e4m3,0.65,2,1,3839,14,fault,3825,8,255,160,1246382847,2762259711,2694881535,0,4,0,0,5
mxfp8_e4m3,0.64,0,1,3839,14,fault,3825,8,255,224,168430335,2897001727,2694881535,0,4,1,0,5
mxfp8_e4m3,0.64,1,1,3839,14,fault,3825,8,255,224,168430335,2897001727,2694881535,0,4,1,0,5
mxfp8_e4m3,0.64,2,1,3839,14,fault,3825,8,255,224,168430335,2897001727,2694881535,0,4,1,0,5
mxfp8_e4m3,0.63,0,1,2147483647,14,dead,-1,-1,255,255,4294967295,4294967295,4294967295,15,7,1,31,7
mxfp8_e4m3,0.63,1,1,2147483647,14,dead,-1,-1,255,255,4294967295,4294967295,4294967295,15,7,1,31,7
mxfp8_e4m3,0.63,2,1,2147483647,14,dead,-1,-1,255,255,4294967295,4294967295,4294967295,15,7,1,31,7
